0,join,(QA000) Neach-tadhail,All,,
0.157292,join,(RA000) Neach-freagairt,All,,
1.459802,join,QASumBot,All,,
1.473147,text_message,QASumBot,All,**Fàilte don sgrùdadh QASum!**,
1.50094,set_text,(slurk server),All,,
1.532984,set_html,(slurk server),All,,
1.5621,set_text,(slurk server),All,,
1.583232,set_html,(slurk server),All,,
1.973039,text_message,QASumBot,All,"Airson an sgrùdaidh seo, nì thu còmhradh ri neach eile mu thaisbeanadh aig taigh-tasgaidh. An uairsin, bheir thu geàrr-chunntas air na bhruidhinn thu seachad",
2.473615,text_message,QASumBot,All,Cuir a-steach `/tòiseachadh` gus an deuchainn a thòiseachadh.,
61.449773,text_message,QASumBot,All,A bheil thu deiseil? Cuir a-steach `/tòiseachadh` gus an còmhradh a thòiseachadh.,
62.396799,command,(RA000) Neach-freagairt,All,tòiseachadh,
62.913929,text_message,QASumBot,(RA000) Neach-freagairt,A-nis a' feitheamh ris a' chompanach agad `/tòiseachadh` a thaipeadh.,
66.939281,command,(QA000) Neach-tadhail,All,toiseachadh,
66.961964,set_html,(slurk server),All,Bìoball Gàidhlig,
67.029331,text_message,QASumBot,All,Math fhèin! Tòisichidh an còmhradh a-nis.,task_start
67.11179,set_html,(slurk server),All,Bìoball Gàidhlig,
67.232251,set_text,(slurk server),All,,
67.246721,set_html,(slurk server),All,,
67.260198,set_text,(slurk server),All,,
67.273787,set_html,(slurk server),All,,
88.323113,text_message,(RA000) Neach-freagairt,All,"halò, a bheil ceistean agaibh?",
106.054932,text_message,(QA000) Neach-tadhail,All,feasgar math - tha.  de seorsa leabhar a tha seo?,
167.808279,text_message,(RA000) Neach-freagairt,All,"'s e Bìoball a th'ann, eadar-theangaichte gu Gàidhlig",
180.891334,text_message,(QA000) Neach-tadhail,All,de cho sean 's a tha e?,
251.380431,text_message,(RA000) Neach-freagairt,All,"Chan eil mi smaoineachadh gu bheil an teacsa ag ràdh dè cho sean 's a tha am Bìoball seo fhèin, ach chaidh a' chiad eadar-theangachadh dhen Tiomnadh Nuadh a dhèanamh ann an 1767, agus chaidh am Bìoball gu lèir eadar-theangachadh dhan Ghàidhlig ann an 1801",
280.011537,text_message,(RA000) Neach-freagairt,All,"Ron a sin, chaidh Leabhar an Òrdugh Choitcheann fhoillseachadh ann an 1567",
296.314554,text_message,(QA000) Neach-tadhail,All,tapadh leibh.  Cait an deach am Bioball seo a lorg?,
357.973187,text_message,(RA000) Neach-freagairt,All,"Chan eil barrachd fiosrachadh ann mun Bhìoball seo fhèin, ach tha barrachd fiosrachadh agam mu dheidhinn eadar-theangachaidhean dhen Bhìoball ma tha thu ag iarraidh barrachd a chluinntinn mu dheidhinn sin?",
404.438197,text_message,(QA000) Neach-tadhail,All,Tapadh leibh.  Co rinn a' chiad eadar-theangachd dhen Bhioball gu Gaidhlig?,
487.287973,text_message,QASumBot,All,"Tha an còmhradh agad air mairsinn airson greis mu thràth. Nuair a bhios tu deiseil bruidhinn mun taisbeanadh, sgrìobh `/deiseil` gus an geàrr-chunntas a thòiseachadh.",
518.355808,text_message,(RA000) Neach-freagairt,All,"Tha mi duilich, chan eil fiosrachadh mu dheidhinn sin ann nas motha. Tha fiosrachadh ann mu dheidhinn nan eadar-theangachadh as ùire, a chaidh fhoilseachadh le sgioba eadar-theangachaidh bho dhiofar eaglaisean ach sin e.",
526.102595,text_message,(RA000) Neach-freagairt,All,Is dòcha gu bheil sinn deiseil ma-thà?,
536.680535,text_message,(RA000) Neach-freagairt,All,Leis nach eil freagairtean agam dha ur ceistean,
544.643772,text_message,(QA000) Neach-tadhail,All,ceart - saoilidh mi gu bheil,
